hour,P_pv_actual_MW,P_wind_actual_MW,P_renewable_actual_MW,P_load_actual_MW,purchase_price_EUR_MWh,selling_price_EUR_MWh,P_import_MW,P_export_MW,P_curtailment_MW,P_charge_MW,P_discharge_MW,P_electrolyzer_MW,P_fuel_cell_MW,SoC,SoH,hourly_market_cost_EUR,cumulative_market_cost_EUR,power_balance_error_MW,objective_24h
0.0,0.0,0.17355972971189387,0.17355972971189387,2.899077341163426,468.68,170.28,2.725517611451532,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.5,1277.3955941351041,1277.3955941351041,0.0,58434.633407290545
1.0,0.0,0.5573808574745123,0.5573808574745123,2.091564575162762,468.68,155.72,1.9552363492671965,0.0,0.0,0.4210526315789474,0.0,-1.3732539790796416e-15,-6.516090130732899e-16,0.9,0.5,916.3801721745497,2193.7757663096536,4.440892098500626e-16,59930.57680650885
2.0,0.0,0.12797116724335217,0.12797116724335217,1.7988559907067132,468.68,147.09,1.6708848234633626,0.0,0.0,0.0,0.0,-6.338095288059884e-16,-1.744032553431145e-15,0.9,0.5000000000000001,783.1102990608089,2976.8860653704623,4.440892098500626e-16,61533.64029246459
3.0,0.0,0.13812035540752815,0.13812035540752815,1.981634486840393,468.68,91.0,1.8435141314328634,0.0,0.0,0.0,0.0,-3.1690476440299422e-15,-1.5037131070922076e-15,0.9,0.5000000000000001,864.0182031199544,3840.9042684904166,0.0,62222.77283941044
4.0,0.0,0.0,0.0,2.469745118237022,468.68,104.0,2.4697451182370234,0.0,0.0,0.0,0.0,6.338095288059884e-16,-1.142547310594262e-15,0.9,0.5000000000000002,1157.520142015328,4998.424410505744,-4.440892098500626e-16,63858.56755859447
5.0,0.0,0.12405801776618669,0.12405801776618669,2.364811852111125,468.68,140.6,2.240753834344937,0.0,0.0,0.0,0.0,-2.746507958159283e-15,-1.3032180261465796e-15,0.9,0.5000000000000002,1050.196507080785,6048.62091758653,-4.440892098500626e-16,64208.99433216104
6.0,0.0,0.46276987534065067,0.46276987534065067,2.7080146398100857,548.5799999999999,147.09,2.2452447644694344,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5000000000000002,1231.696372892642,7280.317290479172,-4.440892098500626e-16,64518.36541571548
7.0,0.0,0.0,0.0,3.638738521556904,532.76,99.99,3.6387385215569066,0.0,0.0,0.0,0.0,1.4788889005473062e-15,-7.4155714870300685e-16,0.9,0.5000000000000003,1938.5743347446576,9218.891625223829,4.440892098500626e-16,64320.155013387586
8.0,0.5100377595381577,0.21357614014115905,0.7236138996793167,3.097240789845169,532.76,67.99,2.3736268901658524,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5000000000000003,1264.5734620047594,10483.465087228587,0.0,62481.44408883494
9.0,0.717585985718922,0.0,0.717585985718922,4.282934098931573,532.76,95.0,3.5653481132126505,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5000000000000003,1899.4748607951717,12382.939948023759,-8.881784197001252e-16,61214.36850117316
10.0,0.5263991003654083,0.0,0.5263991003654083,5.206294242695581,532.76,135.8,4.6798951423301745,0.0,0.0,0.0,0.0,1.4788889005473062e-15,-7.4155714870300685e-16,0.9,0.5000000000000004,2493.260936027824,14876.200884051583,-8.881784197001252e-16,59759.88692789641
11.0,1.3280237764370784,0.0,1.3280237764370784,4.148282890265948,532.76,150.7,2.82025911382887,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5000000000000004,1502.5212454834686,16378.722129535052,0.0,56847.65278456101
12.0,1.0772610349577385,0.0,1.0772610349577385,6.0252471016233695,532.76,155.72,4.947986066665631,0.0,0.0,0.0,0.0,-2.1126984293532935e-16,-1.0024754047281376e-16,0.9,0.5000000000000004,2636.0890568767813,19014.811186411833,0.0,56154.70597234016
13.0,0.9546817373648923,0.0,0.9546817373648923,8.978632010346404,532.76,147.09,8.023950272981514,0.0,0.0,0.0,0.0,1.4788889005473062e-15,-7.4155714870300685e-16,0.9,0.5000000000000006,4274.839747433632,23289.650933845463,0.0,54326.476341479
14.0,0.7904671350363127,0.0,0.7904671350363127,9.449122268732006,532.76,100.0,8.658655133695694,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.5000000000000006,4612.985109027718,27902.636042873182,0.0,50581.86803629361
15.0,0.39533323034929174,0.0,0.39533323034929174,10.740537815861607,532.76,155.0,10.345204585512317,0.0,0.0,0.0,0.0,6.338095288059884e-16,-1.142547310594262e-15,0.9,0.5000000000000007,5511.511194977542,33414.147237850724,0.0,46270.47332766867
16.0,0.05613176098809179,0.0,0.05613176098809179,6.745315479189611,532.76,169.78,6.689183718201518,0.0,0.0,0.0,0.0,-3.169047644029942e-15,-1.5037131070922072e-15,0.9,0.5000000000000007,3563.7295177090405,36977.876755559766,0.0,42087.18581772199
17.0,0.0,0.02567901297972872,0.02567901297972872,8.990992570514205,532.76,203.1,8.965313557534477,0.0,0.0,0.0,0.0,1.9014285864179653e-15,-5.410620677573791e-16,0.9,0.5000000000000008,4776.360450912068,41754.23720647184,0.0,39856.07556281019
18.0,0.0,0.18482861448465498,0.18482861448465498,5.891647855533277,548.5799999999999,205.83,5.706819241048622,0.0,0.0,0.0,0.0,-1.9014285864179653e-15,-2.3455177962680275e-15,0.9,0.5000000000000009,3130.646899254453,44884.88410572629,-8.881784197001252e-16,35877.16598666696
19.0,0.0,0.11787827802684997,0.11787827802684997,5.359354796289532,548.5799999999999,214.66,4.481476518262682,0.0,0.0,0.0,0.76,1.1883928665112282e-15,5.638924151595776e-16,0.1,0.5000000000000009,2458.448388388542,47343.33249411483,0.0,32476.035916009656
